bigram,n,theme,literal
black guillemots,11,wildlife,black guillemots
eider ducks,8,wildlife,eider ducks
musk cattle,8,wildlife,musk cattle
bearded seal,7,wildlife,bearded seal
ivory gull,5,wildlife,ivory gull
snow buntings,5,wildlife,snow buntings
arctic fox,4,wildlife,arctic fox
brent geese,4,wildlife,brent geese
ivory gull,3,wildlife,ivory gulls
mya truncata,3,wildlife,mya truncata
snowy owl,3,wildlife,snowy owl
cotyle riparia,2,wildlife,cotyle riparia
glaucous gull,2,wildlife,glaucous gull
hirundo horreorum,2,wildlife,hirundo horreorum
barn swallow,2,wildlife,hirundo rustica
snow buntings,2,wildlife,snow bunting
anser albifrons,1,wildlife,anser albifrons
arctic fox,1,wildlife,arctic fox’s
arctic hare,1,wildlife,arctic hare
arctic hare,1,wildlife,arctic hares
arctic petrel,1,wildlife,arctic petrel
barn swallow,1,wildlife,barn swallow
barn swallow,1,wildlife,barn swallows
chaetura pelagica,1,wildlife,chaetura pelagica
coccinella trifasciata,1,wildlife,coccinella trifasciata
colias boothii,1,wildlife,colias boothii
eider ducks,1,wildlife,common eiders
common hare,1,wildlife,common hare
crangon boreas,1,wildlife,crangon boreas
drepanopsetta platessoides,1,wildlife,drepanopsetta platessoides
erica caerulea,1,wildlife,erica caerulea
fish hippoglossus,1,wildlife,fish hippoglossus
halibut hippoglossus,1,wildlife,halibut hippoglossus
hippoglossus pinguis,1,wildlife,hippoglossus pinguis
hippoglossus vulgaris,1,wildlife,hippoglossus vulgaris
icelandic lichens,1,wildlife,icelandic lichens
lapland bunting,1,wildlife,lapland bunting
larus leucopterus,1,wildlife,larus leucopterus
limacina arctica,1,wildlife,limacina arctica
linota linaria,1,wildlife,linota linaria
midge larvae,1,wildlife,midge larvae
pleuropogon sabini,1,wildlife,pleuropogon sabini
plusia gamma,1,wildlife,plusia gamma
rugosa mya,1,wildlife,rugosa mya
sabine’s gull,1,wildlife,sabine’s gull
selachus maximus,1,wildlife,selachus maximus
tringa canu4,1,wildlife,tringa canu4
tringa maritima,1,wildlife,tringa maritima
venus mussels,1,wildlife,venus mussels
wolf spiders,1,wildlife,wolf spiders
