bigram,n,theme,literal
polaris bay,55,placename,polaris bay
snow house,45,NA,snow house
smith sound,43,placename,smith sound
ice foot,35,NA,ice foot
ice masses,33,NA,ice masses
pack ice,33,NA,pack ice
grinnell land,32,placename,grinnell land
ice conditions,27,NA,ice conditions
short time,27,NA,short time
polaris house,25,NA,polaris house
sea level,24,NA,sea level
st john’s,23,NA,st john’s
port foulke,22,placename,port foulke
ice pressures,21,NA,ice pressures
north pole,21,NA,north pole
cape brevoort,20,placename,cape brevoort
davis strait,20,placename,davis strait
fast ice,20,NA,fast ice
ice cover,20,NA,ice cover
cape lupton,19,placename,cape lupton
dropped anchor,19,NA,dropped anchor
feet wide,19,NA,feet wide
newman’s bay,19,placename,newman’s bay
winter quarters,19,NA,winter quarters
9 o’clock,18,NA,9 o’clock
cape constitution,18,placename,cape constitution
shortly afterward,18,NA,shortly afterward
sledge journey,18,NA,sledge journey
2 feet,17,NA,2 feet
board ship,17,NA,board ship
cape york,16,placename,cape york
10 o’clock,15,NA,10 o’clock
air temperature,15,NA,air temperature
crow’s nest,15,NA,crow’s nest
farther north,15,NA,farther north
ice floe,15,NA,ice floe
providence berg,15,NA,providence berg
rensselaer harbour,15,placename,rensselaer harbour
west greenland,15,NA,west greenland
5 miles,14,NA,5 miles
6 o’clock,14,NA,6 o’clock
8 o’clock,14,NA,8 o’clock
cape alexander,14,placename,cape alexander
gulf stream,14,NA,gulf stream
10 feet,13,NA,10 feet
8.00 p.m,13,NA,8.00 p.m
close packed,13,NA,close packed
greenland coast,13,NA,greenland coast
navy department,13,NA,navy department
petermann fiord,13,placename,petermann fiord
vain attempts,13,NA,vain attempts
3 feet,12,NA,3 feet
dense fog,12,NA,dense fog
ice floes,12,NA,ice floes
ice surface,12,NA,ice surface
lay scattered,12,NA,lay scattered
return journey,12,NA,return journey
straight line,12,NA,straight line
west coast,12,NA,west coast
6 feet,11,NA,6 feet
black guillemots,11,wildlife,black guillemots
dog food,11,NA,dog food
drifting snow,11,NA,drifting snow
farther south,11,NA,farther south
flood tide,11,NA,flood tide
ice covered,11,NA,ice covered
littleton island,11,placename,littleton island
meteorological observations,11,NA,meteorological observations
pitched camp,11,NA,pitched camp
polar sea,11,NA,polar sea
short distance,11,NA,short distance
snow houses,11,NA,snow houses
spring tide,11,NA,spring tide
10.00 a.m,10,NA,10.00 a.m
2.00 p.m,10,NA,2.00 p.m
30 feet,10,NA,30 feet
eskimo dogs,10,NA,eskimo dogs
level ice,10,NA,level ice
low temperatures,10,NA,low temperatures
low tide,10,NA,low tide
melville bay,10,placename,melville bay
north wind,10,NA,north wind
offley island,10,placename,offley island
purple saxifrage,10,flora,purple saxifrage
shipwrecked party,10,NA,shipwrecked party
sledge dogs,10,NA,sledge dogs
thick fog,10,NA,thick fog
tide gauge,10,NA,tide gauge
1.00 a.m,9,NA,1.00 a.m
12 miles,9,NA,12 miles
2 miles,9,NA,2 miles
arctic circle,9,NA,arctic circle
barely half,9,NA,barely half
