word,n,theme,literal
ice,884,NA,ice
ship,411,NA,ship
water,369,NA,water
time,362,NA,time
north,330,NA,north
coast,298,NA,coast
sea,264,NA,sea
snow,262,NA,snow
cape,250,NA,cape
boat,243,NA,boat
feet,236,NA,feet
left,225,NA,left
day,220,NA,day
reached,214,NA,reached
miles,208,NA,miles
south,200,NA,south
appeared,198,NA,appeared
sledge,196,NA,sledge
dogs,195,NA,dogs
land,195,NA,land
set,190,NA,set
bay,189,NA,bay
found,189,NA,found
lay,187,NA,lay
floe,182,NA,floe
morning,176,NA,morning
hours,169,NA,hours
covered,164,NA,covered
wind,162,NA,wind
days,159,NA,days
polaris,151,NA,polaris
barely,146,NA,barely
board,142,NA,board
island,142,NA,island
2,140,NA,2
dark,139,NA,dark
half,138,NA,half
10,135,NA,10
west,135,NA,west
night,134,NA,night
greenland,133,NA,greenland
close,130,NA,close
house,125,NA,house
3,122,NA,3
boats,122,NA,boats
people,121,NA,people
light,120,NA,light
1,118,NA,1
east,118,NA,east
shore,118,NA,shore
short,118,NA,short
natives,115,NA,natives
joseph,113,NA,joseph
crew,111,NA,crew
expedition,110,NA,expedition
scarcely,109,NA,scarcely
6,108,NA,6
sound,108,NA,sound
air,106,NA,air
arctic,106,NA,arctic
latitude,106,NA,latitude
4,105,NA,4
5,105,NA,5
floes,104,NA,floes
o’clock,104,NA,o’clock
tide,104,NA,tide
rock,102,NA,rock
ship’s,102,NA,ship’s
sun,102,NA,sun
8,99,NA,8
hans,99,NA,hans
distance,98,NA,distance
hall,98,NA,hall
conditions,97,NA,conditions
due,97,NA,due
eskimo,96,NA,eskimo
quickly,96,NA,quickly
reach,96,NA,reach
brought,95,NA,brought
fog,95,NA,fog
immediately,95,NA,immediately
hour,94,NA,hour
position,94,NA,position
return,94,NA,return
animals,93,NA,animals
vessel,93,NA,vessel
head,92,NA,head
noon,92,NA,noon
seal,92,wildlife,seal
wide,91,NA,wide
direction,90,NA,direction
journey,90,NA,journey
level,90,NA,level
low,90,NA,low
passed,89,NA,passed
rest,89,NA,rest
12,88,NA,12
cold,88,NA,cold
completely,88,NA,completely
p.m,88,NA,p.m
temperature,88,NA,temperature
chester,87,NA,chester
harbour,87,NA,harbour
a.m,86,NA,a.m
animal,86,NA,animal
deck,86,NA,deck
rose,86,NA,rose
surface,86,NA,surface
20,85,NA,20
hayes,85,NA,hayes
provisions,85,NA,provisions
spotted,85,NA,spotted
times,85,NA,times
hut,84,NA,hut
observations,84,NA,observations
result,84,NA,result
dog,82,NA,dog
extremely,81,NA,extremely
masses,81,NA,masses
shortly,81,NA,shortly
spot,81,NA,spot
cliffs,80,NA,cliffs
tent,80,NA,tent
returned,79,NA,returned
camp,78,NA,camp
finally,78,NA,finally
pack,78,NA,pack
strait,78,NA,strait
ing,77,NA,ing
current,76,NA,current
evening,76,NA,evening
hand,75,NA,hand
life,75,NA,life
foot,74,NA,foot
numerous,74,NA,numerous
winter,74,NA,winter
7,73,NA,7
bear,73,wildlife,bear
shot,73,NA,shot
9,71,NA,9
meat,71,NA,meat
dropped,70,NA,dropped
glacier,70,NA,glacier
narrow,70,NA,narrow
route,70,NA,route
seal,70,wildlife,seals
formed,69,NA,formed
height,69,NA,height
anchor,68,NA,anchor
captain,68,NA,captain
lead,68,NA,lead
line,68,NA,line
lower,68,NA,lower
15,67,NA,15
coal,67,NA,coal
cover,67,NA,cover
hunting,67,NA,hunting
similar,67,NA,similar
30,66,NA,30
entire,66,NA,entire
trip,66,NA,trip
voyage,66,NA,voyage
ground,65,NA,ground
mile,65,NA,mile
drifting,64,NA,drifting
14,63,NA,14
deep,63,NA,deep
entrance,63,NA,entrance
fast,63,NA,fast
horizon,63,NA,horizon
houses,63,NA,houses
party,63,NA,party
ran,63,NA,ran
totally,63,NA,totally
waves,63,NA,waves
sledges,62,NA,sledges
11,61,NA,11
extended,61,NA,extended
killed,61,NA,killed
moment,61,NA,moment
storm,61,NA,storm
birds,60,wildlife,birds
length,60,NA,length
meantime,60,NA,meantime
sight,60,NA,sight
disappeared,59,NA,disappeared
food,59,NA,food
lying,59,NA,lying
seamen,59,NA,seamen
stood,59,NA,stood
19,58,NA,19
broke,58,NA,broke
cut,58,NA,cut
de,58,NA,de
edge,58,NA,edge
midnight,58,NA,midnight
progress,58,NA,progress
view,58,NA,view
white,58,NA,white
continued,57,NA,continued
farther,57,NA,farther
free,57,NA,free
heavy,57,NA,heavy
home,57,NA,home
beach,56,NA,beach
hummocks,56,NA,hummocks
lost,56,NA,lost
fiord,55,NA,fiord
gale,54,NA,gale
hauled,54,NA,hauled
icebergs,54,NA,icebergs
leave,54,NA,leave
ly,54,NA,ly
vain,54,NA,vain
aboard,53,NA,aboard
black,53,NA,black
nearby,53,NA,nearby
previously,53,NA,previously
started,53,NA,started
violent,53,NA,violent
18,52,NA,18
august,52,NA,august
constantly,52,NA,constantly
easily,52,NA,easily
frozen,52,NA,frozen
occurred,52,NA,occurred
ready,52,NA,ready
rocks,52,NA,rocks
strong,52,NA,strong
vicinity,52,NA,vicinity
budington,51,NA,budington
called,51,NA,called
carried,51,NA,carried
means,51,NA,means
moved,51,NA,moved
observatory,51,NA,observatory
port,51,NA,port
possessed,51,NA,possessed
sky,51,NA,sky
start,51,NA,start
summer,51,NA,summer
eyes,50,NA,eyes
filled,50,NA,filled
grey,50,NA,grey
period,50,NA,period
skins,50,NA,skins
channel,49,NA,channel
islands,49,NA,islands
encountered,48,NA,encountered
headland,48,NA,headland
northerly,48,NA,northerly
produced,48,NA,produced
reaching,48,NA,reaching
skin,48,NA,skin
smith,48,NA,smith
speed,48,NA,speed
stretched,48,NA,stretched
climbed,47,NA,climbed
contrast,47,NA,contrast
eskimos,47,NA,eskimos
favourable,47,NA,favourable
